x,y,name,type
-33.13672651,-33.9468154483,HDFS-11912,Test
-61.7538899165,-32.6629895098,AMBARI-21172,Bug
-40.6092313254,-79.6290965928,INFRA-14267,Task
-46.705555865,-32.7016234274,IGNITE-5381,Task
-90.9231949754,-20.9541781738,KAFKA-5359,Bug
12.8684075501,-85.4997198367,ARIA-274,Bug
-49.7993653151,-47.1447758044,HIVE-16798,Sub-task
-56.778605013,-5.63378652989,AIRFLOW-1262,New Feature
45.4059158818,52.3137671606,HAWQ-1478,Bug
-56.4344968909,-37.3780082117,LENS-1428,Bug
-5.13726897729,-67.6493407801,TOBAGO-1743,Improvement
-35.3492662714,-38.5279986961,SPOT-170,Sub-task
-8.1075493702,-64.918799373,FLINK-6805,Bug
-38.4239581751,-49.0096123287,SPARK-20951,Sub-task
-71.0194957111,-16.8644369541,YARN-6681,Sub-task
-55.9549616607,-31.6380883522,MESOS-7598,Improvement
-25.3131475872,-59.1729319683,RANGER-1627,New Feature
-13.7212919608,-45.5771047447,KAFKA-5364,Sub-task
2.56260677893,-75.2894316719,CARBONDATA-1116,Bug
20.2730128425,-59.7686773467,ATLAS-1852,Sub-task
23.871738442,-31.4728282892,GROOVY-8214,Bug
-23.4819045231,-65.8684214499,HIVE-16809,Improvement
-13.4404224617,-70.0972808266,BEAM-2397,Sub-task
-49.948379352,-28.8384223811,BOOKKEEPER-1085,Improvement
9.61515013661,-51.1907484654,DERBY-6937,Sub-task
-41.5607705539,4.96093120677,TIKA-2382,Improvement
-57.3074893115,-18.4737322181,FLINK-6792,Bug
-17.8939612483,-62.3470357395,KARAF-5173,Improvement
0.927319909455,-62.0122894543,FLINK-6806,Bug
-24.5049918908,-52.6001651543,LENS-1430,Bug
49.6084293877,23.2114446722,OOZIE-2924,Improvement
-16.6392661627,-74.2910895657,CAMEL-11375,Improvement
11.8485618809,-59.6185188004,KAFKA-5360,Bug
-35.8797207958,-56.9423812058,BOOKKEEPER-1089,Sub-task
-42.6668279504,-42.0041290964,IGNITE-5372,Improvement
-6.26125256329,-76.7850221474,ATLAS-1854,Sub-task
-58.4135473845,-60.7270193742,IGNITE-5369,Bug
-44.6922087004,29.0517175645,KAFKA-5363,Improvement
-54.7158015946,-13.6278037022,HBASE-18148,Test
-44.0198423791,-82.569240558,JENA-1355,Bug
-75.9740905098,-44.1803469334,HIVE-16799,Improvement
-54.4842580935,-3.51933473823,CXF-7389,Bug
-22.2811467826,57.1604425313,CALCITE-1821,Bug
-24.1541249623,-48.6406265395,KUDU-2028,Improvement
-27.0387480971,-11.666928735,ASTERIXDB-1927,Bug
38.6875884802,-62.9225276519,ZEPPELIN-2608,Bug
-21.5070298074,-70.3783597565,FINERACT-475,Bug
-9.04999501965,-20.3043867713,MASSEMBLY-855,Bug
-20.0246630292,-40.2467718204,INFRA-14265,Task
-54.254645211,-9.01979702051,YARN-6678,Bug
1.14824035587,-49.5342893019,KYLIN-2655,Bug
-14.9880297985,-21.0032104991,AMBARI-21168,Bug
-17.3885980398,-53.5624175087,NIFI-4004,Improvement
20.9536444557,-54.4496712109,HIVE-16806,Improvement
-12.5410479157,-62.8078756514,FLINK-6804,Bug
-32.8622946127,-65.8920119295,GROOVY-8215,Bug
-10.8059324362,-59.0034302176,METRON-979,Bug
17.6273773737,-43.4412162022,BOOKKEEPER-1092,Sub-task
39.6362049287,-58.9466055825,FLINK-6803,Improvement
-3.98791559766,-62.4099798217,PHOENIX-3903,Improvement
33.5700756842,-31.7006570725,DISPATCH-784,Bug
-4.11386469627,-72.5849062086,IGNITE-5374,Task
-41.1522249544,-44.8751371187,CAMEL-11373,New Feature
10.5476108701,-48.1863190095,CAY-2327,Improvement
-41.3856391216,23.1870865583,MESOS-7603,Bug
-27.9258967543,19.231489376,SLING-6930,Sub-task
34.1481626523,-12.8676667603,KARAF-5172,New Feature
-40.1432711614,61.0146533352,ARTEMIS-1201,Improvement
-45.0999884627,-0.34665756477,GROOVY-8213,Bug
78.7433065745,37.7207010435,BOOKKEEPER-1088,Sub-task
-40.5918460969,15.9247480124,GEODE-3018,Bug
-49.7448146589,30.9307696944,IGNITE-5366,Task
-76.2492278959,-11.2598174696,AIRFLOW-1260,Bug
-48.902339127,-0.264524792348,JCRVLT-179,Sub-task
-22.2833031871,17.5718459701,SLING-6927,Sub-task
63.4209497208,-47.1345859084,IGNITE-5377,Task
-37.5565467811,-22.5285870669,ARTEMIS-1202,Improvement
